name,In Nepali,meaning
Asmita ,अस्मिता,Pride
Avishek ,अविशेक,"In Nepalese, Avishek means ""Holy water"". "
Ayesha ,आयेशा,Wife of the Prophet
Ayushma ,आयुष्मा,Long and Healthy life; Long Lived; Offering; Divine beauty
Babita ,"बबिता, बविता",Please advise us the meaning of this name(कृपयायो नामको अर्थ हलिदिनुहोला !
Benita ,बेनिता,no meaning yet
Bhabi ,भाबी,Fortunate
Bhagya ,भाग्य,Good Luck.
Bhanuja River Yamuna,Yamuna भन्ने नेपालको खोला,
Bharati ,भारती,Goddess Saraswati; Goddess Bhagawati(सरस्वति माता
Bhawana ,भावना,Feelings
Bhumika ,भूमिका,Character; Role
Bhuwan ,भुवन,"Palace, One of the three worlds.Also: Bhuvan"
Bijaya ,बिजया,Victorious
Bikalpa ,विकल्प,"Option, alternative"
Bimisha ,बिमिषा,"Knowledge, Leadership, Fairness
"
Bindu ,बिन्दु,Point; The center
Binisha ,बिनिषा,Confident
Binita ,बिनिता,Inner Power
Bipana ,बिपना ,Awake; Reality; Opposite of dream.
Bipasana ,बिपासना,Meditation
Bipinsha ,बिपिन्षा,Beautiful(सुन्दर
Birshika ,बिर्शिका ,no meaning yet
Birsika ,बिर्सिका,no meaning yet
Bishawas ,बिश्वास,"Able to be relied on as honest or truthful.
"
Braina ,ब्रेना,no meaning yet
Bristee ,ब्रिस्ती,Rain
Hari Kala ,"हरिकला, हरि कला ",Black Beauty; Another name of Lord Krishna
Hasina ,हसिना,Beautiful; One with a smiley face :-
Heera ,हीरा,Dimond
Hem ,हेम,Himalayan Snow
Hema ,हेमा,Golden
Hemlata Golden creeper,Creeper को Meaning google गर्नुहोला !,
Hitiksha ,हितिक्षा,no meaning yet
Yamini ,यामिनी,A Beautiful Night
Yamuna ,"यमुना, यामुना",Jamuna river(जमुना नदीको अर्को नाम
Yashawanthi ,यशावंथी,With great fame
Yashawini ,"यशावानी, यशवानी",Successful Women
Yashila ,यशिला,Famous
Yashoda ,यशोदा ,Krishna's mother(चकचके कृष्णको आमा
Yogita ,योगिता,One who can concentrate
Yoman ,योमन,no meaning yet
Yosana ,योसना ,Please advise the meaning of this name(कृपयायो नामको अर्थ हलिदिनुहोला ! 
Yubragi ,युब्रागी,Prince
Yujina ,युजिना,"The name Yujina is of Nepalese origin and means ""Thanks"""
Yunisa ,युनिसा,no meaning yet
Yuzina ,युज़िना,Please advise us the meaning of this name!

Chameli A creeper with flowers,Creeper को Meaning google गर्नुहोला !!,
Champa A flower,एक किसिमको फुल,
Chanda Moon; Also mean love,चन्द्रमुखी,
Chandana Sandal wood,Sandal wood को Meaning google गर्नुहोला !!,
Chandanika Diminutive,Diminutive को Meaning google गर्नुहोला !!,
Chandika Diminutive of Chandana,Diminutive को Meaning google गर्नुहोला !!,
Chandni Moonlit,चन्द्र ज्योति,
Charumati Beautiful,सुन्दरी,
Chetna ,चेतना,Power of intellect
Chunirupa ,चुनिरुपा,no meaning yet
Clinika ,क्लिनिका ,no meaning yet
"Ujjwala Bright, lustrous","चहकिलो, सधै उज्ज्वल रहिरहने",
Uma ,"सुसिला, ऊमा",Goddess Parvati
Umika Goddess Parvati,देवी पार्वतीको अर्को नाम,
Upasana Veneration,Veneration को Meaning google गर्नुहोला !,
Utshika ,उत्शिका,no meaning yet
Utsika ,उत्सिका,no meaning yet

Padma Goddess Lakshmi,देवी लक्ष्मीको Nickname,
Padmini ,पदमिनी,Lotus(देवी लक्ष्मीको
Parbati ,पार्वती,no meaning yet
Pareli ,परेली ,Beautiful Eye Brows
"Pari Beauty, fairy",आप्सरा,
Parisa ,परीसा,One who is fairy like
Parnika ,परनिका,A small leaf; Godess Parvati
Parshavi ,पर्शावी,Stone turn into gold
Parushree ,परुश्री,Please advise us the meaning of this name!
Parvati Durga; Second Wife of Lord Shiva,भगवान शिवको दोस्रो श्रीमती,
Pawan ,पवन,Pawan means Wind and it is Hindu by religion. Pawan belongs to rashi Kanya (Virgo
Pawani ,पावनी,Wind; Breeze
Payal ,पायल,"Anklet, an ornament which worn round an ankle.
"
Peryense ,पेर्येंसे,no meaning yet
Poonam Full moon,पुर्णिमा,
Prabha ,प्रभ,"Light, Glow, Shine"
Pragati ,प्रगति,To move into someones heart.
Pragya Prowess,Prowess को Meaning google गर्नुहोला !,
Prakriti ,प्रकृति,"In Sanskrit, it means ""nature"". Based on Hindu Religion it is the personification of Brahma or the supreme spirit."
Prama ,"प्रामा, प्रमा",no meaning yet
Pramisha ,प्रमिषा,Goddess of knowledge
Pramita ,प्रतिमा,Wisdom
Pramiti ,प्रमिति,Knowledge of truth
Pranati ,प्रनती,Prayer
